Word	Norwegian-no	Valence	Arousal	Dominance
bee	Bie	0.520	0.509	0.309
beef	storfekjøtt	0.582	0.312	0.492
beefsteak	biff	0.594	0.391	0.455
beehive	bikube	0.541	0.700	0.422
beep	pip	0.595	0.541	0.304
beeper	pipetonen	0.438	0.720	0.441
beer	øl	0.592	0.654	0.500
bees	bier	0.562	0.635	0.412
beeswax	bivoks	0.583	0.402	0.375
beetle	bille	0.323	0.356	0.295
befall	ramme	0.520	0.663	0.585
befitting	Passer	0.708	0.333	0.394
befriend	bli venn	0.930	0.624	0.471
befuddled	befuddled	0.156	0.714	0.269
beg	tigge	0.292	0.608	0.328
beggar	tigger	0.240	0.402	0.116
begging	ber	0.292	0.461	0.202
begin	begynne	0.677	0.569	0.763
beginner	nybegynner	0.490	0.480	0.387
beginning	begynnelse	0.816	0.528	0.558
beginnings	begynnelse	0.837	0.527	0.600
begrudge	unner	0.177	0.731	0.377
begun	begynt	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	oppfør deg	0.677	0.363	0.747
behavior	oppførsel	0.594	0.442	0.813
behavioral	atferds	0.612	0.440	0.708
behemoth	Behemoth	0.583	0.781	0.853
behest	befaling	0.602	0.350	0.720
behold	se	0.610	0.284	0.449
beholden	beholden	0.296	0.555	0.212
beholder	beholder	0.714	0.491	0.520
beige	beige	0.490	0.222	0.224
belated	forsinket	0.240	0.400	0.214
belay	standplass	0.500	0.472	0.702
belch	oppstøt	0.194	0.562	0.240
belief	tro	0.896	0.375	0.656
believable	troverdig	0.866	0.390	0.676
believe	tro	0.781	0.370	0.682
believed	antatt	0.500	0.562	0.547
believer	troende	0.725	0.445	0.564
believing	tro	0.870	0.418	0.833
belittle	bagatelliserer	0.122	0.417	0.250
belittled	fornedret	0.177	0.392	0.226
bell	klokke	0.552	0.510	0.505
bellboy	bellboy	0.542	0.363	0.302
bellhop	pikkolo	0.500	0.287	0.318
belligerent	Fiendtlig	0.344	0.680	0.594
bellman	bellman	0.540	0.250	0.371
bellow	bellow	0.248	0.337	0.212
bellows	belg	0.458	0.515	0.429
belly	mage	0.510	0.388	0.387
bellybutton	navle	0.531	0.283	0.360
bellyful	bellyful	0.347	0.806	0.519
belong	tilhøre	0.643	0.405	0.569
belongings	eiendeler	0.592	0.380	0.750
beloved	elskede	0.969	0.613	0.708
belt	belte	0.541	0.322	0.445
beluga	beluga	0.510	0.333	0.482
bemused	forundret	0.281	0.490	0.278
bench	benk	0.571	0.289	0.544
bend	bøye	0.571	0.324	0.368
bender	bender	0.490	0.510	0.466
bending	bøying	0.448	0.565	0.455
beneath	under	0.354	0.173	0.233
benedictory	benedictory	0.677	0.438	0.481
benefactor	velgjører	0.833	0.578	0.755
beneficial	gunstig	0.820	0.579	0.703
beneficiary	mottaker	0.776	0.399	0.616
benefit	fordel	0.906	0.422	0.806
benevolence	velvilje	0.786	0.340	0.717
benevolent	velvillig	0.786	0.407	0.651
benign	godartet	0.694	0.440	0.509
bent	bøyd	0.375	0.453	0.298
benzene	benzen	0.439	0.459	0.403
bequeath	testamentere	0.743	0.500	0.741
bequest	arv	0.661	0.398	0.882
bereaved	etterlatte	0.104	0.479	0.221
bereavement	sorg	0.265	0.677	0.500
bereft	berøvet	0.229	0.490	0.336
beret	beret	0.542	0.240	0.327
bergamot	bergamot	0.510	0.365	0.339
berlin	berlin	0.592	0.423	0.571
berserk	Berserk	0.398	0.556	0.480
berth	køye	0.295	0.337	0.596
beryllium	beryllium	0.417	0.412	0.425
beseech	bønnfaller	0.330	0.441	0.600
beset	beset	0.385	0.717	0.317
bestdayever	beste dagen noensinne	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	bestevenner	0.934	0.662	0.647
bestial	bestialsk	0.260	0.761	0.674
besties	besties	0.888	0.509	0.614
bestow	skjenke	0.656	0.560	0.642
bestseller	bestselger	0.771	0.643	0.700
bet	vedde	0.385	0.698	0.432
beta	beta	0.710	0.370	0.439
betray	forråde	0.042	0.870	0.536
betrayal	forræderi	0.083	0.719	0.418
betrayed	forrådt	0.122	0.769	0.308
betrothed	forlovet	0.833	0.630	0.667
betterment	better	0.898	0.536	0.769
betting	å satse	0.237	0.804	0.411
betty	Betty	0.542	0.358	0.381
bevel	koniske	0.757	0.406	0.454
beverage	drikke	0.635	0.490	0.389
bevy	flokk	0.429	0.460	0.541
beware	pass	0.151	0.596	0.518
bewilder	forvirre	0.306	0.571	0.289
bewildered	forvirret	0.230	0.630	0.300
bewilderment	forvirring	0.312	0.716	0.216
bias	partiskhet	0.400	0.370	0.541
biased	forutinntatt	0.271	0.302	0.368
bib	smekke	0.385	0.396	0.339
bible	bibel	0.719	0.225	0.726
biblical	bibelsk	0.635	0.304	0.712
bibliography	bibliografi	0.622	0.204	0.528
bicarbonate	bikarbonat	0.479	0.337	0.438
bicentennial	Bicentennial	0.541	0.423	0.507
biceps	biceps	0.592	0.588	0.602
bicker	krangler	0.143	0.643	0.552
bickering	krangling	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	sykkel	0.708	0.519	0.425
bid	bud	0.760	0.530	0.655
bidder	budgiver	0.465	0.474	0.433
bidding	budgivning	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	biennalen	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	bifurcation	0.385	0.625	0.352
big	stor	0.802	0.588	0.812
bigamy	bigami	0.327	0.696	0.482
bigday	stor dag	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	biggie	0.531	0.481	0.500
bighorn	stort horn	0.480	0.547	0.580
bigmouth	stor munn	0.417	0.577	0.430
bigot	fanatiker	0.479	0.745	0.517
bigoted	hyklersk	0.153	0.760	0.462
bigotry	fordommer	0.356	0.737	0.481
bike	sykkel	0.708	0.500	0.333
biker	biker	0.604	0.710	0.567
bikini	bikini	0.730	0.639	0.353
bilateral	bilateral	0.633	0.343	0.491
bilayer	tolags	0.438	0.398	0.388
bile	galle	0.157	0.461	0.324
bilge	lense	0.316	0.392	0.412
bilingual	tospråklig	0.735	0.490	0.606
bill	regning	0.396	0.402	0.535
billboard	billboard	0.594	0.317	0.481
billet	billet	0.479	0.583	0.500
billiard	billiard	0.719	0.616	0.543
billiards	biljard	0.643	0.559	0.387
billing	fakturering	0.406	0.481	0.670
billion	milliarder	0.719	0.564	0.782
billionaire	milliardær	0.806	0.667	0.923
billy	billy	0.490	0.397	0.375
bimbo	bimbo	0.396	0.370	0.300
bimonthly	annenhver måned	0.408	0.298	0.471
bin	bin	0.422	0.304	0.327
binary	binær	0.490	0.356	0.420
bind	binde	0.398	0.462	0.448
binder	binder	0.438	0.250	0.308
bindery	bindery	0.548	0.388	0.482
binding	bindende	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	binge	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	kikkert	0.531	0.344	0.426
binoculars	kikkert	0.490	0.309	0.411
binomial	binomial	0.600	0.406	0.426
bio	bio	0.612	0.225	0.490
biochemical	biokjemiske	0.367	0.481	0.618
biochemist	biokjemiker	0.471	0.449	0.717
biochemistry	biokjemi	0.552	0.531	0.596
biogenesis	biogenesis	0.594	0.442	0.697
biographer	biograf	0.708	0.427	0.617
biography	biografi	0.698	0.229	0.718
biological	biologisk	0.590	0.410	0.615
biologist	biolog	0.625	0.453	0.693
biology	biologi	0.479	0.274	0.546
bionic	bionic	0.571	0.570	0.788
biopsy	biopsi	0.323	0.657	0.481
biosphere	biosfæren	0.684	0.351	0.579
bipartite	bipartite	0.365	0.480	0.464
bipolar	bipolar	0.208	0.685	0.426
birch	bjørk	0.562	0.346	0.382
bird	fugl	0.729	0.357	0.364
birdcage	fuglebur	0.480	0.398	0.318
birdie	birdie	0.594	0.394	0.407
birdman	Birdman	0.490	0.567	0.604
birth	fødsel	0.896	0.655	0.536
birthday	fødselsdag	0.969	0.844	0.575
birthing	birthing	0.796	0.877	0.519
birthmark	føflekk	0.630	0.461	0.500
birthplace	fødested	0.781	0.290	0.491
birthright	fødselsrett	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	kjeks	0.888	0.260	0.231
bisexual	biseksuell	0.438	0.765	0.459
bishop	biskop	0.594	0.184	0.725
bison	bison	0.573	0.433	0.557
bisque	bisque	0.693	0.443	0.312
bistro	bistro	0.594	0.472	0.396
bit	bit	0.427	0.310	0.225
bitch	tispe	0.276	0.740	0.343
bitchy	bitchy	0.188	0.700	0.373
bite	bite	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	bitsy	0.510	0.388	0.382
bitter	bitter	0.218	0.627	0.411
bitterly	bittert	0.194	0.685	0.362
bitterness	bitterhet	0.115	0.633	0.270
bittersweet	bittersøt	0.469	0.569	0.474
bitty	bitty	0.469	0.271	0.257
bitumen	bitumen	0.375	0.235	0.307
biweekly	annenhver uke	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	bisarr	0.379	0.620	0.392
blab	sladrer	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	svart	0.326	0.339	0.390
black snake	svart slange	0.104	0.860	0.612
blackberry	bjørnebær	0.667	0.413	0.453
blackbird	svarttrost	0.520	0.340	0.405
blackboard	tavle	0.469	0.255	0.287
blacken	sverte	0.208	0.500	0.228
blackface	svart ansikt	0.302	0.490	0.441
blackjack	blackjack	0.419	0.679	0.452
blacklist	svarteliste	0.133	0.750	0.396
blackmail	utpressing	0.094	0.802	0.482
blackmailer	utpresser	0.092	0.780	0.472
blackness	svarthet	0.260	0.480	0.406
blackout	blackout	0.126	0.530	0.349
blacksmith	smed	0.480	0.531	0.702
bladder	blære	0.406	0.412	0.330
blade	blad	0.378	0.602	0.594
blame	skylde på	0.115	0.640	0.309
blameless	ulastelige	0.759	0.196	0.343
bland	kjedelig	0.300	0.226	0.157
blank	blank	0.531	0.229	0.250
blanket	teppe	0.740	0.132	0.391
blare	blare	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	blasfemisk	0.210	0.755	0.491
blasphemy	blasfemi	0.146	0.794	0.406
blast	blast	0.167	0.929	0.777
blaster	blaster	0.459	0.538	0.554
blastoff	blastoff	0.357	0.865	0.736
blatant	blatant	0.327	0.677	0.675
blather	blather	0.344	0.481	0.382
blaze	Blaze	0.698	0.467	0.658
blazer	blazer	0.635	0.385	0.417
blazing	Lynrask	0.594	0.896	0.735
bleach	blekemiddel	0.336	0.282	0.337
bleak	bleik	0.204	0.427	0.272
bleed	blø	0.041	0.843	0.346
bleeder	avlednings	0.260	0.852	0.356
bleeding	blør	0.135	0.817	0.408
bleep	bleep	0.479	0.667	0.345
blemish	lyte	0.219	0.558	0.272
blemished	uren	0.173	0.469	0.370
blend	blanding	0.469	0.452	0.463
blender	blender	0.602	0.534	0.351
blending	blending	0.560	0.418	0.637
bless	velsigne	0.929	0.269	0.588
blessed	velsignet	0.910	0.279	0.696
blessing	velsignelse	0.929	0.264	0.800
blessings	velsignelser	0.929	0.361	0.623
bleu	bleu	0.460	0.354	0.379
blight	sykdom på planter	0.271	0.771	0.429
blighted	blighted	0.146	0.615	0.296
blimp	blimp	0.600	0.410	0.532
blind	blind	0.156	0.360	0.184
blinded	blindet	0.245	0.471	0.231
blindfold	bind	0.448	0.684	0.337
blindfolded	bind for øynene	0.208	0.564	0.209
blinding	blinding	0.304	0.596	0.406
blindly	blindt	0.439	0.598	0.278
blindness	blindhet	0.245	0.480	0.196
blink	blinke	0.552	0.316	0.324
blip	blip	0.529	0.461	0.418
bliss	lykksalighet	0.816	0.500	0.782
blissful	lykkelig	0.885	0.639	0.676
blister	blemme	0.407	0.538	0.402
blistering	blemmer	0.344	0.569	0.390
blitz	blits	0.417	0.722	0.789
blizzard	snøstorm	0.375	0.726	0.417
bloat	Oppblåst	0.229	0.694	0.298
bloated	oppsvulmet	0.167	0.593	0.424
blob	blob	0.500	0.376	0.298
block	blokkere	0.286	0.350	0.402
blockade	blokade	0.380	0.519	0.510
blockage	blokkering	0.250	0.608	0.444
blockbuster	blockbuster	0.730	0.676	0.883
blockhead	blockhead	0.163	0.333	0.148
blog	blog	0.639	0.390	0.432
bloke	fyr	0.450	0.479	0.545
blond	blonde	0.590	0.490	0.490
blonde	blond	0.698	0.545	0.412
blood	blod	0.219	0.684	0.585
bloodbath	blodbad	0.060	0.971	0.475
bloodhound	sporhund	0.327	0.462	0.538
bloodless	ublodig	0.292	0.390	0.212
bloodline	blodslinje	0.510	0.657	0.604
bloodshed	blodsutgytelse	0.048	0.942	0.525
bloodshot	blodskutte	0.188	0.810	0.482
bloodstream	blodet	0.552	0.530	0.528
bloodthirsty	blodtørstig	0.052	0.804	0.644
bloody	blodig	0.031	0.910	0.518
bloom	blomst	0.816	0.453	0.587
bloomers	bloomers	0.521	0.587	0.395
blooming	blomstringen	0.860	0.452	0.593
blossom	blomstre	0.792	0.275	0.309
blot	blot	0.365	0.304	0.223
blotched	blotched	0.133	0.562	0.264
blotter	blotter	0.360	0.298	0.280
blouse	bluse	0.580	0.190	0.302
blow	blåse	0.316	0.750	0.570
blower	Blåseren	0.564	0.550	0.536
blowfish	Blowfish	0.344	0.420	0.389
blowing	blåser	0.521	0.472	0.434
blowjob	blowjob	0.460	0.784	0.387
blown	blåst	0.333	0.548	0.412
blowout	blåse ut	0.398	0.792	0.616
blowtorch	blåselampe	0.520	0.730	0.510
blubber	spekk	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	blå	0.646	0.137	0.291
blue spruce	blå gran	0.559	0.335	0.364
blueberry	blåbær	0.656	0.185	0.365
bluebird	blå fugl	0.573	0.350	0.450
bluegrass	bluegrass	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	blåkopi	0.490	0.173	0.425
blues	blues	0.469	0.220	0.287
bluff	bløff	0.418	0.286	0.377
bluish	blåaktig	0.604	0.245	0.382
blunder	bommert	0.135	0.635	0.145
blunt	sløv	0.551	0.680	0.925
blur	uklarhet	0.268	0.471	0.205
blurred	uskarp	0.320	0.367	0.231
blurry	utydelig	0.059	0.385	0.218
blurt	blurt	0.408	0.439	0.441
blush	rødme	0.698	0.610	0.445
blushing	rødmende	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	Villsvin	0.406	0.500	0.351
board	borde	0.592	0.255	0.385
board game	brettspill	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	boarding	0.531	0.402	0.534
boardroom	styrerommet	0.555	0.566	0.661
boards	styrene	0.469	0.270	0.524
boardwalk	promenaden	0.643	0.481	0.549
boast	skryte	0.520	0.586	0.569
boastful	braut	0.490	0.806	0.695
boasting	skryt	0.417	0.620	0.602
boat	båt	0.516	0.420	0.554
boathouse	naust	0.592	0.380	0.404
boating	båtliv	0.638	0.613	0.557
boatload	båtlast	0.365	0.415	0.485
boatman	båtføreren	0.592	0.573	0.562
bobbin	spolen	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	bob	0.667	0.613	0.325
bode	Bode	0.344	0.406	0.411
bodega	bodega	0.573	0.307	0.398
bodice	bodice	0.390	0.471	0.386
bodily	kroppslig	0.594	0.481	0.557
body	kropp	0.694	0.461	0.571
bodyguard	livvakt	0.510	0.710	0.754
bog	bog	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	busemann	0.388	0.708	0.517
bogus	tull	0.219	0.353	0.144
bohemian	bohem	0.622	0.500	0.407
boil	Kok opp	0.417	0.684	0.433
boiler	kjele	0.561	0.590	0.509
boilerplate	tekst	0.398	0.519	0.387
boiling	koke	0.302	0.690	0.526
boisterous	støy	0.385	0.806	0.565
bold	dristig	0.490	0.271	0.483
boldness	dristighet	0.806	0.684	0.814
bollocks	pokker	0.448	0.471	0.327
bolster	styrke	0.708	0.471	0.569
bolt	bolt	0.354	0.363	0.426
bolus	bolus	0.426	0.491	0.352
bomb	bombe	0.167	0.912	0.750
bombard	bombardere	0.156	0.961	0.777
bombardier	bombardier	0.240	0.863	0.787
bombardment	bombardement	0.146	0.959	0.742
bombed	bombet	0.051	0.851	0.627
bomber	bomber	0.125	0.837	0.810
bombers	bombefly	0.173	0.920	0.787
bombing	bombing	0.167	0.963	0.732
bombshell	bombshell	0.327	0.868	0.693
bonanza	bonanza	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	knytte bånd	0.667	0.519	0.630
bondage	bondage	0.146	0.705	0.355
bonding	liming	0.594	0.442	0.509
bonds	bindinger	0.740	0.472	0.583
bondsman	trellen	0.469	0.497	0.675
bone	bein	0.337	0.370	0.413
bonehead	Bonehead	0.337	0.521	0.518
boner	boner	0.344	0.612	0.393
bones	bein	0.281	0.343	0.358
bonfire	bål	0.480	0.719	0.473
bong	bong	0.333	0.566	0.375
bonkers	bonkers	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	panser	0.406	0.509	0.473
bonny	bonny	0.561	0.404	0.444
bonsai	bonsai	0.714	0.235	0.375
bonus	bonus	0.857	0.620	0.682
bony	benete	0.445	0.462	0.330
boo	boo	0.153	0.676	0.309
boob	boob	0.694	0.600	0.392
booby	booby	0.396	0.423	0.185
booger	booger	0.399	0.537	0.427
boogeyman	Boogeyman	0.292	0.559	0.567
boogie	boogie	0.590	0.543	0.400
book	bok	0.802	0.210	0.606
bookcase	bokhylle	0.553	0.221	0.490
bookie	bookie	0.344	0.633	0.618
booking	booking	0.708	0.503	0.583
bookish	akademisk	0.604	0.236	0.430
bookkeeper	bokholder	0.480	0.363	0.468
bookkeeping	bokføring	0.520	0.214	0.592
booklet	hefte	0.510	0.270	0.351
bookmaker	bookmaker	0.583	0.804	0.633
bookmark	bokmerke	0.543	0.441	0.415
books	bøker	0.729	0.115	0.430
bookseller	bokhandleren	0.583	0.317	0.456
bookshop	bokhandel	0.688	0.291	0.389
bookstore	bokhandel	0.771	0.180	0.503
bookworm	lesehest	0.563	0.337	0.316
boom	boom	0.604	0.655	0.731
boomer	boomer	0.480	0.539	0.441
boomerang	boomerang	0.531	0.625	0.500
booming	booming	0.688	0.554	0.661
boon	velsignelse	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	øke	0.865	0.730	0.750
booster	booster	0.755	0.600	0.800
boot	støvel	0.438	0.650	0.625
booth	messe	0.531	0.400	0.310
bootleg	bootleg	0.357	0.519	0.466
bootlegger	Bootlegger	0.354	0.649	0.541
boots	støvler	0.602	0.255	0.350
booty	booty	0.663	0.587	0.784
booze	sprit	0.265	0.745	0.431
bop	bop	0.429	0.490	0.426
bopper	bopper	0.398	0.530	0.385
border	grense	0.406	0.382	0.424
bordering	grenser	0.643	0.382	0.438
borderline	grense	0.449	0.520	0.490
bore	kjede	0.417	0.440	0.455
boreal	boreal	0.582	0.348	0.400
bored	lei	0.153	0.167	0.196
boredom	kjedsomhet	0.167	0.139	0.255
borer	borer	0.302	0.549	0.578
boring	kjedelig	0.194	0.217	0.125
born	Født	0.865	0.509	0.591
boron	boron	0.441	0.370	0.375
borough	bydel	0.429	0.343	0.380
borrow	låne	0.398	0.573	0.282
borrower	låner	0.439	0.423	0.763
bosom	barm	0.612	0.588	0.404
boss	sjef	0.310	0.627	0.954
bossy	sjefete	0.240	0.824	0.750
boston	boston	0.643	0.380	0.580
botanical	botanisk	0.660	0.259	0.491
botanist	botaniker	0.651	0.240	0.456
botany	botanikk	0.604	0.201	0.500
bother	bry	0.208	0.780	0.370
bothering	plager	0.208	0.764	0.449
bottle	flaske	0.469	0.236	0.336
bottleneck	flaskehals	0.284	0.471	0.287
bottling	tapping	0.365	0.333	0.370
bottom	bunn	0.417	0.370	0.291
bottomless	bunnløs	0.310	0.470	0.368
botulism	botulisme	0.292	0.575	0.386
boulder	kampestein	0.461	0.309	0.531
bounce	sprette	0.375	0.633	0.386
bouncer	dørvakt	0.490	0.653	0.655
bouncy	bouncy	0.562	0.565	0.429
bound	bundet	0.417	0.667	0.310
boundary	grense	0.561	0.427	0.518
boundless	grenseløs	0.684	0.642	0.652
bounds	grensene	0.378	0.426	0.604
bountiful	bountiful	0.854	0.596	0.759
bounty	skuddpremie	0.760	0.755	0.833
bouquet	bukett	0.724	0.352	0.306
bourbon	bourbon	0.602	0.490	0.517
bourgeois	borgerlige	0.439	0.593	0.682
bourgeoisie	borgerskapet	0.357	0.417	0.767
bourse	børsen	0.530	0.230	0.336
bout	bout	0.208	0.808	0.679
boutique	boutique	0.745	0.490	0.441
bouttime	på tide	0.588	0.373	0.410
bovine	storfe	0.449	0.255	0.353
bow	Bue	0.530	0.306	0.408
bowed	bukket	0.410	0.418	0.368
bowel	tarm	0.306	0.417	0.391
bowels	Tarmer	0.194	0.448	0.362
bowl	bolle	0.625	0.377	0.358
bowler	bowler	0.552	0.633	0.481
bowling	bowling	0.656	0.431	0.309
bowls	boller	0.551	0.280	0.277
box	eske	0.500	0.179	0.312
boxcar	Boxcar	0.420	0.469	0.421
boxer	bokser	0.490	0.810	0.802
boxers	boksere	0.375	0.880	0.654
boxing	boksing	0.427	0.854	0.645
boy	gutt	0.646	0.392	0.445
boycott	boikott	0.112	0.690	0.505
boyfriend	kjæreste	0.781	0.604	0.547
boyhood	guttedagene	0.729	0.745	0.500
boyish	gutteaktig	0.698	0.562	0.462
boysenberry	Boysenbær	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	BH	0.672	0.529	0.509
brace	stag	0.610	0.385	0.364
bracelet	armbånd	0.776	0.340	0.322
braces	bukseseler	0.500	0.337	0.568
brachial	brachialis	0.388	0.363	0.464
bracket	brakett	0.490	0.350	0.682
brackets	braketter	0.573	0.281	0.435
brackish	brakkvann	0.469	0.368	0.421
brad	brad	0.490	0.385	0.402
brag	skryte	0.347	0.545	0.578
braid	flette	0.427	0.222	0.216
brain	hjerne	0.667	0.441	0.823
brainless	brainless	0.138	0.310	0.224
brains	hjerner	0.663	0.557	0.722
brainstorm	brainstorm	0.794	0.784	0.636
brainwash	hjernevask	0.198	0.647	0.481
brainy	brainy	0.708	0.520	0.648
brake	brems	0.312	0.481	0.310
bran	kli	0.688	0.433	0.483
branch	gren	0.538	0.206	0.250
branching	forgrening	0.520	0.422	0.472
brand	merke	0.562	0.284	0.547
brandy	brandy	0.600	0.590	0.487
brash	issørpe	0.360	0.814	0.552
brass	messing	0.500	0.320	0.490
brass knuckle	messinghjul	0.406	0.449	0.518
brassiere	brasserie	0.510	0.469	0.336
brat	drittunge	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	Bravado	0.479	0.510	0.527
brave	modig	0.837	0.750	0.917
bravery	tapperhet	0.898	0.745	0.868
brawl	slåsskamp	0.104	0.938	0.603
brawn	sylte	0.438	0.402	0.544
brazen	skamløs	0.292	0.640	0.518
breach	brudd	0.177	0.745	0.423
bread	brød	0.660	0.314	0.342
breadth	bredde	0.667	0.490	0.644
break	gå i stykker	0.610	0.265	0.370
breakable	knuselig	0.194	0.667	0.408
breakaway	løsrive	0.479	0.802	0.519
breakdown	sammenbrudd	0.365	0.423	0.361
breaker	breaker	0.323	0.527	0.520
breakers	brytere	0.469	0.588	0.439
breakfast	frokost	0.885	0.330	0.429
breaking and entering	innbrudd	0.418	0.729	0.500
breakingnews	siste nytt	0.500	0.552	0.607
breakneck	halsbrekkende	0.254	0.833	0.604
breakthrough	gjennombrudd	0.680	0.525	0.718
breakup	slå opp	0.250	0.720	0.357
breast	bryst	0.753	0.429	0.500
breath	pust	0.684	0.392	0.451
breathe	puste	0.833	0.373	0.518
breather	pust i bakken	0.624	0.471	0.388
breathless	åndeløs	0.323	0.490	0.222
breathtaking	fantastisk	0.936	0.792	0.921
breech	seteleie	0.500	0.637	0.422
breeches	knebukser	0.365	0.457	0.333
breed	avle	0.490	0.441	0.578
breeder	oppdretter	0.645	0.481	0.605
breeding	oppdrett	0.667	0.481	0.610
breeze	bris	0.837	0.284	0.370
breezy	breezy	0.531	0.472	0.482
brethren	brødre	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	kortfattethet	0.459	0.434	0.375
brew	brygge	0.740	0.538	0.758
brewery	bryggeri	0.710	0.622	0.510
brewing	brygging	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	bestikkelse	0.112	0.690	0.472
bribery	bestikkelser	0.135	0.775	0.585
brick	murstein	0.217	0.418	0.368
bridal	brude	0.823	0.655	0.596
bride	brud	0.840	0.708	0.579
bridegroom	brudgom	0.809	0.736	0.527
bridesmaid	brudepike	0.748	0.519	0.618
bridge	bro	0.625	0.324	0.519
bridle	bissel	0.427	0.367	0.386
brief	kort	0.469	0.300	0.279
briefcase	stresskoffert	0.542	0.206	0.442
briefing	orientering	0.612	0.333	0.702
briefly	kort	0.686	0.314	0.330
brig	briggen	0.573	0.539	0.500
brigade	brigade	0.604	0.710	0.828
bright	lys	0.890	0.527	0.812
brighten	lysne	0.760	0.547	0.649
brightens	Sterkere lys	0.771	0.611	0.613
brighter	lysere	0.918	0.698	0.833
brightness	lysstyrke	0.938	0.623	0.660
brilliance	glans	0.990	0.673	0.830
brilliant	strålende	0.939	0.575	0.923
brim	brem	0.469	0.333	0.330
brimming	brimming	0.656	0.690	0.758
brimstone	svovel	0.357	0.520	0.440
brine	saltvann	0.333	0.481	0.361
bring	bringe	0.635	0.460	0.462
brink	randen	0.375	0.413	0.356
brisk	rask	0.719	0.745	0.742
brisket	brisket	0.552	0.378	0.222
bristle	bust	0.375	0.375	0.326
brittle	skjør	0.276	0.490	0.272
bro	bro	0.794	0.349	0.684
broach	broach	0.438	0.439	0.675
broad	bred	0.762	0.365	0.637
broadcast	kringkaste	0.615	0.587	0.355
broadcasting	kringkasting	0.542	0.700	0.706
broaden	utvide	0.678	0.602	0.610
broadside	bred	0.459	0.316	0.462
broadsword	broads	0.469	0.573	0.615
brocade	brokade	0.500	0.327	0.464
broccoli	brokkoli	0.469	0.200	0.283
brochure	brosjyre	0.552	0.226	0.391
broil	broil	0.510	0.404	0.330
broke	blakk	0.245	0.590	0.370
broken	gått i stykker	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	hjerteknust	0.130	0.598	0.227
broker	megler	0.582	0.462	0.600
brokerage	megling	0.479	0.500	0.500
bromide	bromid	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	bronse	0.622	0.333	0.526
brooch	brosje	0.531	0.260	0.380
brood	stamfisk	0.633	0.519	0.434
brooding	grubling	0.327	0.367	0.333
brook	bekk	0.594	0.347	0.412
broom	kost	0.385	0.154	0.302
broomstick	kosteskaft	0.410	0.265	0.227
broth	buljong	0.500	0.245	0.168
brothel	bordell	0.255	0.886	0.418
brother	bror	0.823	0.361	0.546
brotherhood	brorskap	0.990	0.471	0.760
brotherly	broderlig	0.865	0.306	0.596
brow	brow	0.562	0.311	0.481
brown	brun	0.396	0.202	0.293
brownstone	Brownstone	0.559	0.423	0.439
browse	bla	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	blåmerke	0.133	0.640	0.474
bruising	blåmerker	0.084	0.520	0.422
brunch	brunsj	0.406	0.363	0.343
brunette	brunette	0.802	0.528	0.529
brunt	brunt	0.204	0.750	0.349
brush	børste	0.490	0.265	0.186
brutal	brutal	0.122	0.882	0.643
brutality	brutalitet	0.122	0.832	0.571
brute	brute	0.115	0.547	0.379
brutish	brutish	0.270	0.837	0.588
bubble	boble	0.774	0.213	0.364
